origin_vertiport_id,destination_vertiport_id,aircraft_pushback_time,soc,tail_number,aircraft_pushback_datetime
LAX,DTLA,55500,32.5,,15:25:00
DTLA,LAX,55500,57.5,,15:25:00
LAX,DTLA,55800,37.5,,15:30:00
DTLA,LAX,55800,35.0,,15:30:00
DTLA,LAX,55800,40.0,,15:30:00
DTLA,LAX,56100,70.0,,15:35:00
LAX,DTLA,56100,80.0,,15:35:00
LAX,DTLA,56100,72.5,,15:35:00
DTLA,LAX,56400,27.5,,15:40:00
DTLA,LAX,56400,45.0,,15:40:00
LAX,DTLA,56400,52.5,,15:40:00
LAX,DTLA,56400,32.5,,15:40:00
LAX,DTLA,56700,57.5,,15:45:00
DTLA,LAX,56700,70.0,,15:45:00
LAX,DTLA,57000,85.0,,15:50:00
LAX,DTLA,57000,85.0,,15:50:00
DTLA,LAX,57300,62.5,,15:55:00
DTLA,LAX,57300,47.5,,15:55:00
DTLA,LAX,57300,47.5,,15:55:00
LAX,DTLA,57300,72.5,,15:55:00
LAX,DTLA,57600,42.5,,16:00:00
DTLA,LAX,57600,75.0,,16:00:00
DTLA,LAX,57900,52.5,,16:05:00
LAX,DTLA,57900,55.0,,16:05:00
LAX,DTLA,57900,40.0,,16:05:00
LAX,DTLA,58200,42.5,,16:10:00
DTLA,LAX,58200,32.5,,16:10:00
DTLA,LAX,58200,82.5,,16:10:00
LAX,DTLA,58200,77.5,,16:10:00
LAX,DTLA,58200,42.5,,16:10:00
DTLA,LAX,58500,45.0,,16:15:00
LAX,DTLA,58500,70.0,,16:15:00
LAX,DTLA,58800,75.0,,16:20:00
DTLA,LAX,58800,32.5,,16:20:00
DTLA,LAX,58800,67.5,,16:20:00
DTLA,LAX,58800,32.5,,16:20:00
DTLA,LAX,59100,60.0,,16:25:00
LAX,DTLA,59400,40.0,,16:30:00
LAX,DTLA,59400,60.0,,16:30:00
LAX,DTLA,59700,52.5,,16:35:00
LAX,DTLA,59700,57.5,,16:35:00
DTLA,LAX,59700,92.5,,16:35:00
DTLA,LAX,59700,85.0,,16:35:00
DTLA,LAX,60000,30.0,,16:40:00
DTLA,LAX,60000,50.0,,16:40:00
LAX,DTLA,60000,37.5,,16:40:00
LAX,DTLA,60000,37.5,,16:40:00
LAX,DTLA,60300,85.0,,16:45:00
DTLA,LAX,60300,67.5,,16:45:00
DTLA,LAX,60300,42.5,,16:45:00
LAX,DTLA,60600,97.5,,16:50:00
LAX,DTLA,60600,95.0,,16:50:00
DTLA,LAX,60600,47.5,,16:50:00
DTLA,LAX,60900,85.0,,16:55:00
LAX,DTLA,60900,32.5,,16:55:00
DTLA,LAX,61200,85.0,,17:00:00
DTLA,LAX,61200,50.0,,17:00:00
DTLA,LAX,61200,50.0,,17:00:00
LAX,DTLA,61200,62.5,,17:00:00
DTLA,LAX,61500,80.0,,17:05:00
DTLA,LAX,61500,87.5,,17:05:00
LAX,DTLA,61500,92.5,,17:05:00
LAX,DTLA,61800,42.5,,17:10:00
DTLA,LAX,61800,52.5,,17:10:00
LAX,DTLA,61800,42.5,,17:10:00
LAX,DTLA,61800,77.5,,17:10:00
LAX,DTLA,61800,42.5,,17:10:00
DTLA,LAX,62100,82.5,,17:15:00
