vertiport_id,init_soc,target_soc,charging_start_time,process,location,charging_start_time_datetime
LAX,22.5,27.5,60300,CHARGING,,16:45:00
LAX,27.5,32.5,60300,CHARGING,,16:45:00
LAX,40.0,50.0,60300,CHARGING,,16:45:00
LAX,25.0,47.5,60600,CHARGING,,16:50:00
LAX,27.5,40.0,60600,CHARGING,,16:50:00
LAX,35.0,50.0,60900,CHARGING,,16:55:00
LAX,32.5,37.5,61200,CHARGING,,17:00:00
DTLA,27.5,32.5,61200,CHARGING,,17:00:00
DTLA,47.5,50.0,61200,CHARGING,,17:00:00
LAX,37.5,40.0,61500,CHARGING,,17:05:00
LAX,37.5,40.0,61500,CHARGING,,17:05:00
DTLA,32.5,35.0,61500,CHARGING,,17:05:00
LAX,20.0,27.5,61800,CHARGING,,17:10:00
DTLA,42.5,47.5,61800,CHARGING,,17:10:00
LAX,47.5,52.5,62100,CHARGING,,17:15:00
DTLA,25.0,27.5,62400,CHARGING,,17:20:00
DTLA,27.5,32.5,62700,CHARGING,,17:25:00
DTLA,27.5,32.5,62700,CHARGING,,17:25:00
DTLA,27.5,32.5,62700,CHARGING,,17:25:00
DTLA,32.5,40.0,63000,CHARGING,,17:30:00
DTLA,32.5,40.0,63000,CHARGING,,17:30:00
LAX,30.0,37.5,63000,CHARGING,,17:30:00
DTLA,25.0,37.5,63000,CHARGING,,17:30:00
LAX,30.0,37.5,63000,CHARGING,,17:30:00
LAX,30.0,37.5,63000,CHARGING,,17:30:00
LAX,52.5,55.0,63300,CHARGING,,17:35:00
DTLA,22.5,35.0,63300,CHARGING,,17:35:00
DTLA,35.0,37.5,63300,CHARGING,,17:35:00
LAX,27.5,32.5,63600,CHARGING,,17:40:00
LAX,40.0,45.0,63600,CHARGING,,17:40:00
DTLA,32.5,45.0,64200,CHARGING,,17:50:00
DTLA,32.5,45.0,64200,CHARGING,,17:50:00
DTLA,32.5,45.0,64200,CHARGING,,17:50:00
LAX,30.0,40.0,64500,CHARGING,,17:55:00
DTLA,27.5,57.5,64500,CHARGING,,17:55:00
LAX,25.0,42.5,64800,CHARGING,,18:00:00
LAX,45.0,52.5,65100,CHARGING,,18:05:00
DTLA,27.5,42.5,65100,CHARGING,,18:05:00
LAX,22.5,35.0,65700,CHARGING,,18:15:00
LAX,22.5,35.0,65700,CHARGING,,18:15:00
LAX,35.0,52.5,65700,CHARGING,,18:15:00
LAX,30.0,37.5,66300,CHARGING,,18:25:00
DTLA,20.0,25.0,66300,CHARGING,,18:25:00
DTLA,20.0,25.0,66300,CHARGING,,18:25:00
DTLA,35.0,57.5,66600,CHARGING,,18:30:00
DTLA,35.0,47.5,66600,CHARGING,,18:30:00
DTLA,35.0,47.5,66600,CHARGING,,18:30:00
LAX,37.5,42.5,66600,CHARGING,,18:30:00
LAX,20.0,40.0,67200,CHARGING,,18:40:00
LAX,20.0,35.0,67200,CHARGING,,18:40:00
DTLA,32.5,37.5,67500,CHARGING,,18:45:00
LAX,25.0,37.5,67500,CHARGING,,18:45:00
DTLA,37.5,40.0,68100,CHARGING,,18:55:00
LAX,42.5,47.5,68400,CHARGING,,19:00:00
LAX,42.5,47.5,68400,CHARGING,,19:00:00
LAX,42.5,47.5,68400,CHARGING,,19:00:00
LAX,37.5,40.0,68400,CHARGING,,19:00:00
LAX,52.5,55.0,69000,CHARGING,,19:10:00
DTLA,20.0,25.0,69300,CHARGING,,19:15:00
LAX,35.0,37.5,69300,CHARGING,,19:15:00
LAX,40.0,42.5,69300,CHARGING,,19:15:00
LAX,22.5,25.0,69600,CHARGING,,19:20:00
LAX,55.0,57.5,69600,CHARGING,,19:20:00
DTLA,20.0,55.0,69900,CHARGING,,19:25:00
LAX,30.0,45.0,69900,CHARGING,,19:25:00
LAX,25.0,35.0,70200,CHARGING,,19:30:00
DTLA,37.5,45.0,70200,CHARGING,,19:30:00
DTLA,27.5,35.0,70500,CHARGING,,19:35:00
LAX,32.5,52.5,70800,CHARGING,,19:40:00
LAX,20.0,27.5,70800,CHARGING,,19:40:00
DTLA,32.5,37.5,70800,CHARGING,,19:40:00
LAX,27.5,30.0,71400,CHARGING,,19:50:00
DTLA,35.0,45.0,71400,CHARGING,,19:50:00
LAX,30.0,32.5,71700,CHARGING,,19:55:00
LAX,37.5,42.5,71700,CHARGING,,19:55:00
DTLA,40.0,47.5,71700,CHARGING,,19:55:00
DTLA,22.5,27.5,72000,CHARGING,,20:00:00
DTLA,27.5,50.0,72600,CHARGING,,20:10:00
LAX,42.5,45.0,72600,CHARGING,,20:10:00
DTLA,27.5,30.0,72900,CHARGING,,20:15:00
DTLA,27.5,37.5,72900,CHARGING,,20:15:00
DTLA,47.5,50.0,72900,CHARGING,,20:15:00
DTLA,20.0,37.5,73200,CHARGING,,20:20:00
DTLA,22.5,32.5,73200,CHARGING,,20:20:00
DTLA,25.0,37.5,73200,CHARGING,,20:20:00
DTLA,37.5,40.0,73500,CHARGING,,20:25:00
DTLA,47.5,50.0,73500,CHARGING,,20:25:00
DTLA,27.5,35.0,73800,CHARGING,,20:30:00
LAX,37.5,40.0,73800,CHARGING,,20:30:00
DTLA,37.5,47.5,74100,CHARGING,,20:35:00
DTLA,45.0,47.5,74100,CHARGING,,20:35:00
DTLA,37.5,47.5,74100,CHARGING,,20:35:00
DTLA,20.0,22.5,74400,CHARGING,,20:40:00
LAX,27.5,40.0,74700,CHARGING,,20:45:00
